# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   210461013 | 5209 |  298 |  198 | 3.432 | 0.357 | 1.020 | -0.587 | 0.400 | 0.480 |   3.216 |   6.231 |   1.340 |   0.973 |   0.222 |   0.092 | 3.013e-02 | 8.469e-02 | 2.916e-02 | 1.094e+03 | 1.816e+03 | 3.663e+02 | 0.3382 | 0.1692 | 0.1410 |   rpm
   210461044 | 5480 |  132 |  231 | 3.914 | 0.658 | 0.084 | -0.216 | 0.200 | 0.360 |   1.923 |   0.038 |   1.120 |   0.925 |   0.154 |   0.086 | 1.541e-01 | 1.520e+00 | 2.709e-02 | 4.706e+02 | 1.452e+01 | 2.686e+02 | 0.5341 | 0.0852 | 0.2272 |   rpm
   210461123 | 3623 |  193 |   85 | 4.981 | 0.050 | 0.080 |  0.047 | 0.100 | 0.180 |   0.295 |   0.066 |   0.054 |   0.309 |   0.094 |   0.067 | 1.137e+01 | 4.689e+00 | 3.769e+00 | 1.728e+02 | 5.498e+01 | 3.710e+01 | 0.1973 | 0.1144 | 0.0528 |   rpm
   210461248 | 5815 |  239 |  239 | 4.267 | 0.215 | 0.344 | -0.027 | 0.090 | 0.180 |   1.231 |   0.566 |   0.333 |   1.084 |   0.078 |   0.117 | 5.151e-01 | 6.514e-01 | 3.758e-01 | 4.407e+02 | 2.226e+02 | 1.273e+02 | 0.4546 | 0.1008 | 0.1512 |   rpm
   210461342 | 6028 |  245 |  175 | 4.237 | 0.160 | 0.192 | -0.050 | 0.150 | 0.210 |   1.305 |   0.336 |   0.267 |   1.109 |   0.109 |   0.109 | 4.447e-01 | 4.304e-01 | 1.917e-01 | 1.493e+02 | 3.270e+01 | 3.159e+01 | 0.2105 | 0.0880 | 0.1056 |   rpm
   210461396 | 6624 |  620 |  248 | 3.862 | 0.204 | 0.170 | -0.017 | 0.100 | 0.100 |   2.365 |   0.915 |   0.660 |   1.618 |   0.523 |   0.291 | 1.145e-01 | 1.303e-01 | 6.094e-02 | 4.854e+02 | 1.652e+02 | 1.488e+02 | 0.4094 | 0.1920 | 0.1152 |   rpm
   210461399 | 3799 |  754 |  269 | 4.927 | 0.132 | 0.242 | -0.145 | 0.200 | 0.280 |   0.326 |   0.224 |   0.102 |   0.346 |   0.289 |   0.145 | 8.906e+00 | 7.678e+00 | 5.997e+00 | 3.256e+02 | 3.623e+02 | 1.216e+02 | 0.2448 | 0.1624 | 0.1160 |   col
   210461470 | 6010 |  234 |  234 | 4.193 | 0.252 | 0.252 | -0.183 | 0.200 | 0.200 |   1.323 |   0.505 |   0.366 |   1.072 |   0.196 |   0.122 | 4.138e-01 | 5.743e-01 | 2.405e-01 | 3.705e+02 | 1.471e+02 | 1.053e+02 | 0.4227 | 0.1278 | 0.0852 |   rpm
   210461627 | 6071 |  145 |  364 | 3.820 | 0.102 | 0.085 | -0.040 | 0.050 | 0.050 |   2.174 |   0.640 |   0.043 |   1.407 |   0.216 |   0.118 | 1.084e-01 | 3.060e-02 | 3.968e-02 | 6.395e+02 | 2.098e+02 | 1.919e+01 | 0.6258 | 0.0780 | 0.1248 |   rpm
   210461649 | 5507 |  226 |  180 | 3.924 | 0.585 | 0.270 | -0.123 | 0.200 | 0.360 |   1.807 |   0.943 |   0.970 |   0.992 |   0.261 |   0.109 | 1.600e-01 | 1.263e+00 | 1.017e-01 | 1.985e+02 | 1.078e+02 | 1.089e+02 | 0.2093 | 0.1152 | 0.0960 |   rpm
